comment,ross_order,dmw_product,ross_code,qty,same_next_day,date,week,qty_day,achieved,qty_aft,achieved_1,qty_nght,achieved_2,kg_sht,planned_totals,act_totals,sheets_per_hour,spm,c_wires
8.0mm C12D,WIP,CW500L6-Coils,CW500L6,,S,2025-05-31,22,,,,13010.0,,,1000,0.0,13010.0,,,
,WIP,CW500L6-Coils,CW500L6,,N,2025-06-01,23,,,,,,,1000,0.0,0.0,,,
,WIP,CW500L6-Coils,CW500L6,,N,2025-06-02,23,,,,,,,1000,0.0,0.0,,,
,WIP,CW500L6-Coils,CW500L6,,N,2025-06-03,23,,7015.0,,,,,1000,0.0,7015.0,,,
8.0mm C12D,WIP,CW500L6-Coils,CW500L6,24000.0,S,2025-06-03,23,,6015.0,,9063.0,,,1000,0.0,15078.0,,,
,WIP,CW500L6-Coils,CW500L6,,N,2025-06-04,23,,9050.0,,,,,1000,0.0,9050.0,,,
6.5mm C12D,WIP,R500L5.0-Coils,CW500L5,90000.0,S,2025-06-04,23,,5020.0,,14045.0,,,1000,0.0,19065.0,,,
,WIP,R500L5.0-Coils,CW500L5,,N,2025-06-05,23,,4995.0,,,,,1000,0.0,4995.0,,,
6.5mm C12D,WIP,R500L5.0-Coils,CW500L5,24000.0,S,2025-06-05,23,,10990.0,,,,,1000,0.0,10990.0,,,
,WIP,R500L5.0-Coils,CW500L5,,N,2025-06-06,23,,10065.0,,8060.0,,,1000,0.0,18125.0,,,
6.5mm C12D,WIP,R500L5.0-Coils,CW500L5,24000.0,S,2025-06-06,23,,,,4045.0,,,1000,0.0,4045.0,,,
,WIP,R500L5.0-Coils,CW500L5,,N,2025-06-07,23,,11160.0,,9055.0,,,1000,0.0,20215.0,,,
6.5mm C12D,WIP,R500L5.6-Coils,CW500L5.6,24000.0,S,2025-06-07,23,,,,5050.0,,,1000,0.0,5050.0,,,
,WIP,R500L5.6-Coils,CW500L5.6,,N,2025-06-08,24,,7706.0,,,,,1000,0.0,7706.0,,,
5.5mm SAE1008,WIP,R500L4.0-Coils,CW500L4,24000.0,S,2025-06-08,24,,1995.0,,,,,1000,0.0,1995.0,,,
,WIP,R500L4.0-Coils,CW500L4,,N,2025-06-09,24,,3995.0,,7030.0,,,1000,0.0,11025.0,,,
