product,qtyordered,qtycompl,datecompleted,ross_product_code
BDBOT-8724-230 C2,300.0,300.0,2023-12-04,P
BDTOP-8724-230 C2,100.0,104.0,2023-12-05,P
D500SL81 C2,260.0,205.0,2023-12-06,P
IMG5H-44-4524-SM,450.0,450.0,2023-12-11,P
IMG5H-44-4524-SM,500.0,500.0,2023-12-13,P
IMZG4-305-4523H,120.0,120.0,2023-12-21,P
IMZG4-305-43H23H,58.0,23.0,2023-12-27,P
IMZG4-305-4623H,45.0,45.0,2024-01-08,P
IMZG4-305-4723H,5.0,5.0,2024-01-08,P
IMZG4-305-4823H,5.0,5.0,2024-01-08,P
IMZG4-305-2424,100.0,100.0,2024-01-10,P
BDBOT-9423-390 C2,15.0,15.0,2024-01-12,P
BDTOP-9423-390 C2,15.0,15.0,2024-01-15,P
IMG4-22-3024-OC,1600.0,1579.0,2024-01-24,P
BDTOP-8724-230 C2,150.0,181.0,2024-01-31,P
BDTOP-8723-280 C2,80.0,80.0,2024-02-02,P
BDBOT-8723-280 C2,80.0,81.0,2024-02-06,P
IMG5H-44-4524-SM,500.0,484.0,2024-02-09,P
D500RL1218 C2,60.0,60.0,2024-02-12,P
D500RL1218 C2,200.0,200.0,2024-02-13,P
D500RL1018 C2,120.0,120.0,2024-02-14,P
D500RL1018 C2,140.0,140.0,2024-02-15,P
D500SL81 C2,100.0,100.0,2024-02-15,P
IMG5H6H-44-4024-SSP,200.0,200.0,2024-02-19,P
BDBOT-8724-230 C2,150.0,150.0,2024-02-21,P
IMG4-22-3024-OC,1600.0,1548.0,2024-02-29,P
BDTOP-8723-280 C2,70.0,70.0,2024-03-05,P
BDBOT-8723-280 C2,60.0,60.0,2024-03-11,P
IMG5H-44-4524,15.0,15.0,2024-03-13,P
D500SL81 C2,239.0,239.0,2024-03-18,P
D500SL81 C2,60.0,60.0,2024-03-18,P
IMG4-22-3024-OC,1580.0,1580.0,2024-03-25,P
D500RL1018 C2,100.0,100.0,2024-03-26,P
D500RL1218 C2,92.0,92.0,2024-03-27,P
BDTOP-8723-280 C2,150.0,150.0,2024-04-04,P
BDBOT-8723-280 C2,150.0,117.0,2024-04-10,P
BDTOP-8724-230 C2,150.0,150.0,2024-04-17,P
BDBOT-8724-230 C2,150.0,150.0,2024-04-22,P
IMG5H6H-44-4024-SSP,300.0,290.0,2024-05-02,P
IMG5H-44-4528,475.0,521.0,2024-05-08,P
IMB8-88-3616,200.0,200.0,2024-05-09,P
BDBOT-9423-390 C2,50.0,54.0,2024-05-15,P
BDTOP-9423-390 C2,12.0,12.0,2024-05-15,
IMG4-22-3024-OC,1700.0,1742.0,2024-05-27,P
D500RL1218 C2,100.0,100.0,2024-05-28,P
D500RL1018 C2,100.0,100.0,2024-05-29,P
D500SL81 C2,150.0,160.0,2024-05-30,P
IMB5-44-4524,450.0,570.0,2024-06-13,
IMG4-22-3024-OC,1700.0,1694.0,2024-06-25,
D500RL1018 C2,150.0,160.0,2024-06-26,
D500RL1218 C2,70.0,70.0,2024-06-27,
D500SL81 C2,150.0,150.0,2024-07-01,
D500SL81 C2,32.0,32.0,2024-07-01,
IMG5H-44-4528,950.0,950.0,2024-07-08,
BDTOP-8723-280 C2,160.0,160.0,2024-07-10,
BDTOP-8723-280 C2,140.0,140.0,2024-07-10,
BDBOT-8723-280 C2,160.0,160.0,2024-07-15,
BDBOT-8723-280 C2,100.0,100.0,2024-07-16,
IMB5-44-4517,1100.0,1106.0,2024-07-25,
BDBOT-8723-280 C2,200.0,200.0,2024-08-01,
BDBOT-8723-280 C2,20.0,20.0,2024-08-05,
BDTOP-8723-280 C2,140.0,140.0,2024-08-13,
BDTOP-8723-280 C2,140.0,140.0,2024-08-13,
BDBOT-8723-280 C2,140.0,120.0,2024-08-19,
IMG6H-22-4116,250.0,282.0,2024-08-22,
